name,fullName,pos,season,tm,pts,ast,reb,stl,blk,tov,fg,ts,tR,ftPct,ftRate,tpPct,rating,cost
N. Jokić '22,Nikola Jokić,C,2022,DEN,39.7,11.6,20.2,2.2,1.2,5.6,58.3,66.0,0.22,81.0,0.36,33.7,88.9,40
N. Jokić '23,Nikola Jokić,C,2023,DEN,35.6,14.3,17.2,1.8,1.0,5.2,63.2,70.3,0.14,82.2,0.4,38.3,88.1,40
N. Jokić '25,Nikola Jokić,C,2025,DEN,38.7,13.4,16.7,2.4,0.8,4.3,57.6,66.3,0.24,80.0,0.33,41.7,87.9,40
N. Jokić '24,Nikola Jokić,C,2024,DEN,37.8,12.8,17.7,2.0,1.2,4.3,58.3,65.0,0.16,81.7,0.31,35.9,86.9,39
G. Antetokounmpo '20,Giannis Antetokounmpo,PF,2020,MIL,44.2,8.4,20.4,1.5,1.6,5.5,55.3,61.2,0.24,63.3,0.51,30.4,85.5,38
G. Antetokounmpo '25,Giannis Antetokounmpo,PF,2025,MIL,43.0,9.1,16.9,1.2,1.6,4.4,60.1,62.4,0.05,61.7,0.53,22.2,84.4,38
G. Antetokounmpo '22,Giannis Antetokounmpo,PF,2022,MIL,43.6,8.5,17.0,1.6,2.0,4.8,55.3,63.3,0.2,72.2,0.62,29.3,83.7,38
G. Antetokounmpo '24,Giannis Antetokounmpo,PF,2024,MIL,41.6,8.9,15.7,1.6,1.5,4.7,61.1,65.0,0.09,65.7,0.57,27.4,82.9,37
G. Antetokounmpo '23,Giannis Antetokounmpo,PF,2023,MIL,46.2,8.5,17.5,1.2,1.2,5.8,55.3,60.6,0.13,64.5,0.6,27.5,82.5,37
N. Jokić '21,Nikola Jokić,C,2021,DEN,37.7,11.9,15.5,1.9,1.0,4.4,56.6,64.7,0.18,86.8,0.3,38.8,81.6,37
G. Antetokounmpo '19,Giannis Antetokounmpo,PF,2019,MIL,39.3,8.4,17.7,1.8,2.2,5.3,57.8,64.3,0.16,72.9,0.55,25.6,81.5,37
J. Embiid '23,Joel Embiid,C,2023,PHI,47.4,5.9,14.5,1.4,2.4,4.9,54.8,65.6,0.15,85.7,0.58,33.0,81.5,37
J. Embiid '22,Joel Embiid,C,2022,PHI,45.1,6.2,17.3,1.7,2.1,4.6,49.9,61.5,0.19,81.4,0.6,37.1,80.0,36
R. Westbrook '17,Russell Westbrook,PG,2017,OKC,44.8,14.7,15.1,2.3,0.5,7.7,42.5,55.4,0.3,84.5,0.43,34.3,80.0,36
G. Antetokounmpo '21,Giannis Antetokounmpo,PF,2021,MIL,40.1,8.3,15.7,1.7,1.7,4.8,56.9,63.3,0.2,68.5,0.53,30.3,78.8,35
L. Dončić '24,Luka Dončić,PG,2024,DAL,43.3,12.5,11.8,1.8,0.7,5.2,48.7,61.7,0.45,78.6,0.37,38.2,78.2,35
L. Dončić '23,Luka Dončić,PG,2023,DAL,44.4,11.0,11.8,1.9,0.7,4.9,49.6,60.9,0.37,74.2,0.48,34.2,77.8,35
S. Gilgeous-Alexander '25,Shai Gilgeous-Alexander,PG,2025,OKC,45.9,9.0,7.0,2.4,1.4,3.4,51.9,63.7,0.26,89.8,0.41,37.5,76.9,35
K. Abdul-Jabbar '77,Kareem Abdul-Jabbar,C,1977,LAL,32.7,4.8,16.6,1.5,4.0,0.0,57.9,60.9,0.0,70.1,0.35,0.0,76.3,34
M. Jordan '89,Michael Jordan,SG,1989,CHI,40.0,9.9,9.9,3.6,1.0,4.4,53.8,61.3,0.05,85.0,0.44,27.6,76.3,34
D. Robinson '94,David Robinson,C,1994,SAS,39.2,6.3,14.1,2.3,4.4,4.2,50.7,57.8,0.02,74.9,0.56,34.5,75.9,34
J. Embiid '21,Joel Embiid,C,2021,PHI,44.1,4.4,16.4,1.5,2.1,4.8,51.3,63.5,0.17,85.9,0.61,37.7,75.8,34
A. Davis '19,Anthony Davis,C,2019,NOP,36.5,5.5,16.9,2.2,3.4,2.8,51.7,59.6,0.14,79.4,0.42,33.1,75.7,34
S. Gilgeous-Alexander '24,Shai Gilgeous-Alexander,PG,2024,OKC,42.4,8.8,7.8,2.8,1.3,3.1,53.5,63.5,0.18,87.4,0.44,35.3,75.6,34
M. Jordan '91,Michael Jordan,SG,1991,CHI,42.7,7.5,8.1,3.7,1.4,3.3,53.9,60.5,0.05,85.1,0.37,31.2,75.5,34
M. Jordan '88,Michael Jordan,SG,1988,CHI,43.6,7.4,6.8,3.9,2.0,3.8,53.5,60.4,0.03,84.1,0.43,13.2,75.5,34
L. James '13,LeBron James,PF,2013,MIA,37.5,10.1,11.2,2.4,1.2,4.2,56.5,64.2,0.19,75.3,0.39,40.6,75.4,34
S. O'Neal '00,Shaquille O'Neal,C,2000,LAL,38.1,4.9,17.5,0.6,3.9,3.6,57.4,57.7,0.0,52.4,0.49,0.0,75.2,34
J. Harden '19,James Harden,PG,2019,HOU,48.2,10.0,8.9,2.7,1.0,6.6,44.2,61.5,0.54,87.9,0.45,36.8,75.1,34
L. James '09,LeBron James,SF,2009,CLE,40.8,10.4,10.9,2.4,1.6,4.3,48.9,59.1,0.24,78.0,0.47,34.4,74.9,34
S. O'Neal '95,Shaquille O'Neal,C,1995,ORL,40.0,3.7,15.6,1.3,3.3,3.5,58.3,58.9,0.0,53.3,0.53,0.0,74.5,33
M. Jordan '90,Michael Jordan,SG,1990,CHI,42.7,8.1,8.8,3.5,0.8,3.8,52.6,60.6,0.12,84.8,0.35,37.6,74.5,33
L. James '10,LeBron James,SF,2010,CLE,40.0,11.5,9.8,2.2,1.4,4.6,50.3,60.4,0.25,76.7,0.51,33.3,74.3,33
L. Dončić '20,Luka Dončić,PG,2020,DAL,41.5,12.7,13.5,1.5,0.3,6.1,46.3,58.5,0.43,75.8,0.45,31.6,74.2,33
S. O'Neal '01,Shaquille O'Neal,C,2001,LAL,38.0,5.0,16.8,0.8,3.7,3.9,57.2,57.5,0.0,51.3,0.69,0.0,74.0,33
K. Abdul-Jabbar '76,Kareem Abdul-Jabbar,C,1976,LAL,29.9,5.4,18.2,1.6,4.4,0.0,52.9,56.6,0.0,70.3,0.37,0.0,73.8,33
H. Olajuwon '93,Hakeem Olajuwon,C,1993,HOU,33.6,4.6,16.7,2.4,5.4,4.1,52.9,57.9,0.0,77.9,0.35,0.0,73.7,33
S. O'Neal '94,Shaquille O'Neal,C,1994,ORL,37.2,3.1,16.8,1.2,3.6,3.5,59.9,60.5,0.0,55.4,0.53,0.0,73.6,33
A. Davis '23,Anthony Davis,C,2023,LAL,36.1,3.7,17.5,1.5,2.8,3.0,56.3,62.8,0.08,78.4,0.46,25.7,73.2,33
S. O'Neal '98,Shaquille O'Neal,C,1998,LAL,40.1,3.3,16.1,0.9,3.4,4.1,58.4,58.7,0.0,52.7,0.59,0.0,73.1,33
L. James '18,LeBron James,PF,2018,CLE,36.4,12.1,11.5,1.9,1.1,5.6,54.2,61.9,0.26,73.1,0.34,36.7,73.1,33
D. Robinson '92,David Robinson,C,1992,SAS,30.7,3.5,16.1,3.1,5.9,3.5,55.1,59.7,0.01,70.1,0.52,12.5,73.1,33
D. Robinson '96,David Robinson,C,1996,SAS,34.9,4.2,17.0,1.9,4.6,3.2,51.6,58.8,0.01,76.1,0.6,33.3,73.0,33
S. Curry '16,Stephen Curry,PG,2016,GSW,42.5,9.4,7.7,3.0,0.3,4.7,50.4,66.9,0.56,90.8,0.25,45.4,73.0,33
K. Malone '97,Karl Malone,PF,1997,UTA,40.0,6.5,14.4,2.0,0.9,4.1,55.0,60.0,0.01,75.5,0.44,0.0,72.9,33
C. Paul '09,Chris Paul,PG,2009,NOH,32.4,15.7,7.9,3.9,0.2,4.2,50.3,59.8,0.14,86.8,0.41,36.4,72.8,33
R. Gobert '22,Rudy Gobert,C,2022,UTA,23.9,1.7,22.6,1.0,3.2,2.8,71.3,73.4,0.01,69.0,0.86,0.0,72.7,33
K. Garnett '04,Kevin Garnett,PF,2004,MIN,33.2,6.8,19.0,2.0,3.0,3.5,49.9,54.7,0.03,79.1,0.29,25.6,72.5,33
S. O'Neal '02,Shaquille O'Neal,C,2002,LAL,39.2,4.3,15.4,0.9,2.9,3.7,57.9,59.1,0.0,55.5,0.58,0.0,72.4,33
N. Jokić '19,Nikola Jokić,C,2019,DEN,31.5,11.4,17.0,2.1,1.1,4.9,51.1,58.9,0.22,82.1,0.29,30.7,72.3,32
D. Wade '09,Dwyane Wade,SG,2009,MIA,41.8,10.3,7.0,3.0,1.9,4.8,49.1,57.4,0.16,76.5,0.44,31.7,72.3,32
D. Robinson '95,David Robinson,C,1995,SAS,36.9,3.9,14.5,2.2,4.3,3.8,53.0,60.2,0.01,77.4,0.57,30.0,72.2,32
L. Dončić '22,Luka Dončić,PG,2022,DAL,40.4,12.4,13.0,1.6,0.8,6.4,45.7,57.0,0.4,74.4,0.35,35.3,72.2,32
M. Jordan '93,Michael Jordan,SG,1993,CHI,43.0,7.2,8.8,3.7,1.0,3.5,49.5,56.4,0.12,83.7,0.28,35.2,72.1,32
S. O'Neal '97,Shaquille O'Neal,C,1997,LAL,36.3,4.3,17.4,1.2,4.0,4.0,55.7,55.6,0.0,48.4,0.48,0.0,72.1,32
S. O'Neal '99,Shaquille O'Neal,C,1999,LAL,39.6,3.5,16.1,1.1,2.5,3.7,57.6,58.4,0.0,54.0,0.56,0.0,71.8,32
V. Wembanyama '25,Victor Wembanyama,C,2025,SAS,35.3,5.3,16.0,1.6,5.6,4.7,47.6,59.3,0.47,83.6,0.22,35.2,71.8,32
A. Davis '15,Anthony Davis,PF,2015,NOP,35.4,3.2,14.9,2.1,4.3,2.0,53.5,58.9,0.01,80.5,0.39,8.3,71.8,32
J. Embiid '19,Joel Embiid,C,2019,PHI,38.6,5.1,19.1,1.0,2.7,5.0,48.4,59.3,0.22,80.4,0.54,30.0,71.7,32
V. Wembanyama '24,Victor Wembanyama,C,2024,SAS,34.3,6.2,17.0,2.0,5.7,5.9,46.5,56.5,0.33,79.6,0.31,32.5,71.6,32
D. Robinson '91,David Robinson,C,1991,SAS,33.1,3.3,16.7,2.0,5.0,4.2,55.2,61.6,0.0,76.2,0.57,14.3,71.5,32
D. Sabonis '24,Domantas Sabonis,C,2024,SAC,26.4,11.2,18.6,1.2,0.8,4.5,59.4,63.7,0.08,70.4,0.39,37.9,71.4,32
A. Davis '24,Anthony Davis,C,2024,LAL,33.0,4.7,16.9,1.6,3.1,2.8,55.6,62.0,0.08,81.6,0.4,27.1,71.4,32
J. Harden '18,James Harden,SG,2018,HOU,42.3,12.2,7.5,2.4,1.0,6.1,44.9,62.1,0.5,85.8,0.5,36.7,71.4,32
L. Dončić '21,Luka Dončić,PG,2021,DAL,39.9,12.4,11.5,1.4,0.8,6.1,47.9,58.6,0.4,73.0,0.35,35.0,71.3,32
K. Garnett '05,Kevin Garnett,PF,2005,MIN,31.4,8.0,19.1,2.1,1.9,3.8,50.2,56.7,0.02,81.1,0.4,24.0,71.2,32
D. Cousins '17,DeMarcus Cousins,C,2017,SAC,40.9,7.1,15.6,2.0,2.0,5.5,45.2,56.2,0.24,77.0,0.49,35.6,71.2,32
L. James '12,LeBron James,SF,2012,MIA,38.1,8.8,11.1,2.6,1.1,4.8,53.1,60.6,0.13,77.1,0.43,36.2,71.1,32
S. O'Neal '96,Shaquille O'Neal,C,1996,ORL,38.5,4.2,16.0,0.9,3.1,4.2,57.3,56.9,0.0,48.7,0.49,50.0,71.1,32
J. Harden '17,James Harden,PG,2017,HOU,38.4,14.8,10.7,2.0,0.6,7.6,44.0,61.4,0.49,84.7,0.57,34.7,71.0,32
M. Jordan '87,Michael Jordan,SG,1987,CHI,46.4,5.8,6.6,3.6,1.9,4.2,48.2,56.2,0.03,85.7,0.43,18.2,71.0,32
S. O'Neal '03,Shaquille O'Neal,C,2003,LAL,37.7,4.2,15.2,0.8,3.3,4.0,57.4,60.2,0.0,62.2,0.6,0.0,70.8,32
